name_a,name_b,label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33
St Pius X Prep Seminary High School,St. Pius X High Scool,1,85.5,71.42857142857143,71.42857142857143,66.66666666666667,71.42857142857143,85.5,71.42857142857143,0.5,0.1666666666666666,0.631578947368421,0.0,0.0,0.0,0.0,26.9514357150054,3.44245250801364,24.053935628153432,2.732181002845912,0.0,0.0,,,,,,,,,,,,,,
Oklahoma State University - Grad School,oklahoma state universty,1,78.75,66.66666666666667,66.66666666666666,87.5,66.66666666666667,78.75,66.66666666666667,0.4761904761904761,0.3333333333333333,0.8,0.0,0.0,0.0,0.0,12.137740091673454,4.573281817327661,23.17642394319857,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
United States Marine Corps - University of Maryland,United States Marine Corps - Parris Island,0,77.41935483870968,66.66666666666667,80.0,82.1917808219178,77.41935483870968,77.41935483870968,66.66666666666667,0.1935483870967742,0.0666666666666666,0.8421052631578947,0.0,1.0,0.0,0.0,27.404285453053163,6.274176586912295,32.284667669543936,2.9061104621652203,1.0,0.0,,,,,,,,,,,,,,
Bergen Vocational Technical School,Samuel Gompers Vocational Technical HS,0,70.37037037037037,72.22222222222221,74.07407407407408,81.9672131147541,69.44444444444444,70.37037037037037,72.22222222222221,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,11.074841674773108,4.998213300205501,37.95423755505799,2.732181002845912,0.0,0.0,,,,,,,,,,,,,,
The University of Texas Law,The Universiity of Georgia,0,75.47169811320755,75.47169811320755,75.47169811320755,83.33333333333334,75.47169811320755,75.47169811320755,75.47169811320755,0.0377358490566037,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,7.402492046997679,2.9061104621652203,33.21842946354404,3.048163956633323,1.0,0.0,,,,,,,,,,,,,,
Tri West Senior High School,West Snyder Junior/Senior Highschool,0,69.36507936507937,73.01587301587303,73.01587301587301,73.91304347826086,66.66666666666667,69.36507936507937,73.01587301587303,0.2857142857142857,0.1111111111111111,0.7222222222222222,0.0,0.0,0.0,0.0,12.036936813982628,5.942736567029539,39.12029041387749,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
NCOI University of Applied Sciences,"University of Applied Sciences Nordwestschweiz, Switzerland",0,85.5,68.08510638297872,92.3076923076923,92.3076923076923,63.82978723404256,85.5,68.08510638297872,0.5106382978723404,0.0909090909090909,0.8095238095238095,0.0,0.0,0.0,0.0,19.040822746905643,2.9061104621652203,32.82944348935347,7.934796840833338,1.0,0.0,,,,,,,,,,,,,,
China Northwestern University,northwestern university and columbia university,0,76.15384615384616,63.1578947368421,73.84615384615384,84.61538461538461,57.89473684210527,76.15384615384616,63.1578947368421,0.4736842105263157,0.25,0.7894736842105263,0.0,0.0,0.0,0.0,11.093099310516475,3.048163956633323,18.66996113421476,3.945265059140071,1.0,0.0,,,,,,,,,,,,,,
Hereford Senior High School,"Hereford High School, West Texas State University",1,85.5,68.42105263157895,68.42105263157895,85.1063829787234,52.63157894736843,85.5,68.42105263157895,0.5789473684210527,0.2727272727272727,0.6190476190476191,0.0,0.0,0.0,0.0,17.822263046829317,2.732181002845912,25.66399760119415,3.048163956633323,1.0,0.0,,,,,,,,,,,,,,
Los Rios Community Colleges - Cosumnes River College,Consumers River College,1,85.5,58.66666666666666,72.22222222222223,93.33333333333331,58.66666666666666,85.5,58.66666666666666,0.7733333333333333,0.4545454545454545,0.8125,0.0,0.0,0.0,0.0,11.14637291064814,3.5257171257853908,55.14861380821049,5.163688503763991,0.0,0.0,,,,,,,,,,,,,,
Pennsylvania State University at Erie,"Pennsylvania State University, Behrend Black School of Business",0,85.5,68.0,68.0,88.57142857142857,68.0,85.5,68.0,0.52,0.2307692307692307,0.6190476190476191,0.0,0.0,0.0,0.0,15.104997409693976,3.048163956633323,45.29458796140074,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
University of Chihuahua Mexico,Chihuahua State University,0,82.6086956521739,78.57142857142857,86.95652173913044,57.14285714285714,42.85714285714286,82.6086956521739,78.57142857142857,0.1428571428571428,0.1428571428571428,0.7647058823529411,0.0,0.0,0.0,0.0,12.835714779397556,3.048163956633323,14.409334962076564,2.9061104621652203,1.0,0.0,,,,,,,,,,,,,,
"University of Arkansas, Little Rock, Arkansas",University of Akansas at Little Rock,1,81.4814814814815,81.4814814814815,81.48148148148148,92.95774647887325,81.4814814814815,81.4814814814815,81.4814814814815,0.2222222222222222,0.0,0.9411764705882352,1.0,0.0,0.0,0.0,22.40059867691821,2.9061104621652203,25.827919090978824,5.3770994780380175,1.0,0.0,,,,,,,,,,,,,,
Jawaharlal  Nehru Tech University,"Jawaharlal Nehru Technological University and NRCPB, IARI, New Delhi",1,85.5,64.0,91.52542372881356,80.0,63.366336633663366,85.5,64.0,0.693069306930693,0.3846153846153846,0.7272727272727273,0.0,0.0,0.0,0.0,20.99008630609687,3.048163956633323,57.56656487020273,3.945265059140071,1.0,0.0,,,,,,,,,,,,,,
De Mar College,Deccan College,0,78.57142857142857,78.57142857142857,78.57142857142857,78.57142857142857,78.57142857142857,78.57142857142857,78.57142857142857,0.0,0.2,0.7272727272727273,0.0,0.0,0.0,0.0,3.5257171257853908,3.5257171257853908,24.86557755431492,4.3281058243129,0.0,0.0,,,,,,,,,,,,,,
Mssouri State University,Missouru Southern State University,0,79.3103448275862,79.3103448275862,80.0,83.72093023255813,79.3103448275862,79.3103448275862,79.3103448275862,0.3448275862068966,0.1428571428571428,0.9285714285714286,0.0,0.0,0.0,0.0,7.621445773960984,3.048163956633323,34.309200625355444,6.728976631585161,1.0,0.0,,,,,,,,,,,,,,
"DLI, Monterey California",California State University – Monterey,0,85.5,61.29032258064516,88.37209302325581,58.82352941176471,32.25806451612904,85.5,61.29032258064516,0.4516129032258064,0.25,0.6842105263157895,1.0,0.0,0.0,0.0,15.749952805234637,6.026350707070672,19.76985059784324,3.048163956633323,1.0,0.0,,,,,,,,,,,,,,
Universidad Nacional de Jujuy,Advanced Studies in Argentina - Universidad Nacional de Cuyo,0,85.5,58.42696629213483,88.46153846153847,91.2280701754386,58.42696629213483,85.5,58.42696629213483,0.6966292134831461,0.3846153846153846,0.7777777777777778,0.0,0.0,0.0,0.0,17.75616189777738,4.3281058243129,50.65432150463205,5.137596689844037,1.0,0.0,,,,,,,,,,,,,,
Universtity of Tennessee at Chattanooga,Univerity of TN at Chattanooga,1,84.05797101449275,84.05797101449275,84.05797101449275,73.33333333333334,84.05797101449275,84.05797101449275,84.05797101449275,0.2608695652173913,0.0,0.9375,1.0,0.0,0.0,0.0,17.703761935687105,2.9061104621652203,33.55285847392459,7.779590083180605,1.0,0.0,,,,,,,,,,,,,,
The Johns Hopkins Universuty,"Johns Hopkins University, The Edward St. John Real Estate Institute",1,85.5,56.84210526315789,75.55555555555556,88.46153846153845,48.42105263157895,85.5,56.84210526315789,0.8210526315789474,0.4285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,21.35853818155677,4.496381584832459,51.34430774445045,3.048163956633323,1.0,0.0,,,,,,,,,,,,,,
Penns Manor Junior/Senior Highschool,Smethport Area Junior/Senior High School,0,71.05263157894737,57.89473684210527,68.42105263157895,81.25,71.05263157894737,71.05263157894737,57.89473684210527,0.1052631578947368,0.1111111111111111,0.9444444444444444,0.0,0.0,0.0,0.0,12.143759356374002,5.942736567029539,54.08653871721823,2.732181002845912,1.0,0.0,,,,,,,,,,,,,,
The University of Western Australia - Graduate School of Business,University of Western Ontario - Richard Ivey School of Business,0,78.125,71.875,78.78787878787878,80.64516129032258,78.125,78.125,71.875,0.03125,0.0,0.9523809523809524,0.0,0.0,0.0,0.0,20.81802441844905,2.732181002845912,47.26899072025461,4.496381584832459,1.0,0.0,,,,,,,,,,,,,,
Escuela Secundaria Tecnica No. 33,Escuela Sencundaria Tecnica #11,0,84.375,84.375,84.375,93.10344827586206,84.375,84.375,84.375,0.0625,0.1111111111111111,0.7058823529411765,0.0,0.0,0.0,0.0,14.578447579355071,6.524387317694918,50.19874855051152,7.364251982365725,1.0,0.0,,,,,,,,,,,,,,
Alliance Management Institute,Stagen Institute,0,85.5,62.22222222222222,72.0,82.75862068965517,62.22222222222222,85.5,62.22222222222222,0.5777777777777777,0.2,0.75,0.0,0.0,0.0,0.0,4.220539484386967,4.220539484386967,25.7011008954753,5.313058960418259,1.0,0.0,,,,,,,,,,,,,,
"National University of Singapore, Fulbright Fellow","National University of Singapore, Nanyang Technological Institute, Singapore",1,85.5,58.730158730158735,79.51807228915663,80.95238095238095,63.49206349206349,85.5,58.730158730158735,0.4126984126984127,0.1428571428571428,0.8571428571428571,0.0,0.0,0.0,0.0,19.99435083078717,2.9061104621652203,40.92290643077401,4.220539484386967,1.0,0.0,,,,,,,,,,,,,,
"University of Paris II, France","University of Paris, Censier",0,79.3103448275862,75.86206896551724,75.86206896551724,83.33333333333334,79.3103448275862,79.3103448275862,75.86206896551724,0.0689655172413793,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,12.639483232950528,2.9061104621652203,27.335593402438924,6.61225235727702,1.0,0.0,,,,,,,,,,,,,,
"St.Petersburg State University of Cinema and Television, Russia","Saint-Petersburg State University of Technology and Design, St. Petersburg, Russia",0,70.3448275862069,71.72413793103448,71.72413793103448,73.17073170731707,70.3448275862069,70.3448275862069,71.72413793103448,0.2620689655172414,0.1111111111111111,0.875,0.0,0.0,1.0,0.0,35.05536299424523,2.9061104621652203,36.26492232936983,4.999862558413314,1.0,0.0,,,,,,,,,,,,,,
San Francisco State University - Extented Learning,San Francisco State University                                Management of Non Profit Resources,1,85.5,59.13043478260869,75.0,79.51807228915662,52.05479452054795,85.5,59.13043478260869,0.6301369863013698,0.125,0.7142857142857143,0.0,0.0,0.0,0.0,20.773972115877385,3.048163956633323,55.43085201427464,2.9061104621652203,1.0,0.0,,,,,,,,,,,,,,
